sample	samples	DFNA5 (average)
TCGA-06-1086-01	TCGA-06-1086-01	0.3206
TCGA-08-0390-01	TCGA-08-0390-01	0.3203
TCGA-06-A6S1-01	TCGA-06-A6S1-01	0.3193
TCGA-26-1438-01	TCGA-26-1438-01	0.317
TCGA-32-2638-01	TCGA-32-2638-01	0.3166
TCGA-14-0867-01	TCGA-14-0867-01	0.3121
TCGA-06-0394-01	TCGA-06-0394-01	0.3113
TCGA-12-0778-01	TCGA-12-0778-01	0.3107
TCGA-06-0192-01	TCGA-06-0192-01	0.3054
TCGA-02-0332-01	TCGA-02-0332-01	0.3044
TCGA-02-0326-01	TCGA-02-0326-01	0.3038
TCGA-76-6192-01	TCGA-76-6192-01	0.3032
TCGA-06-0216-01	TCGA-06-0216-01	0.29540000000000005
TCGA-12-1093-01	TCGA-12-1093-01	0.2947
TCGA-41-3392-01	TCGA-41-3392-01	0.29280000000000006
TCGA-19-0955-01	TCGA-19-0955-01	0.2906
TCGA-02-0085-01	TCGA-02-0085-01	0.2901
TCGA-28-5211-01	TCGA-28-5211-01	0.2888
TCGA-08-0346-01	TCGA-08-0346-01	0.2886
TCGA-12-0775-01	TCGA-12-0775-01	0.2877
TCGA-06-6694-01	TCGA-06-6694-01	0.2871
TCGA-RR-A6KB-01	TCGA-RR-A6KB-01	0.2864
TCGA-06-6697-01	TCGA-06-6697-01	0.2832
TCGA-02-0052-01	TCGA-02-0052-01	0.28280000000000005
TCGA-02-0281-01	TCGA-02-0281-01	0.2789
TCGA-28-1751-01	TCGA-28-1751-01	0.2708
TCGA-02-0033-01	TCGA-02-0033-01	0.2697
TCGA-19-1389-01	TCGA-19-1389-01	0.2693
TCGA-76-4934-01	TCGA-76-4934-01	0.2678
TCGA-26-6174-01	TCGA-26-6174-01	0.2655
TCGA-12-0829-01	TCGA-12-0829-01	0.2644
TCGA-19-5955-01	TCGA-19-5955-01	0.2606
TCGA-02-0057-01	TCGA-02-0057-01	0.2463
TCGA-02-0456-01	TCGA-02-0456-01	0.2463
TCGA-41-3915-01	TCGA-41-3915-01	0.2457
TCGA-06-0179-01	TCGA-06-0179-01	0.2454
TCGA-02-0025-01	TCGA-02-0025-01	0.244
TCGA-19-2629-01	TCGA-19-2629-01	0.2436
TCGA-06-0402-01	TCGA-06-0402-01	0.2405
TCGA-02-0055-01	TCGA-02-0055-01	0.238
TCGA-06-0414-01	TCGA-06-0414-01	0.23109999999999997
TCGA-27-2527-01	TCGA-27-2527-01	0.2289
TCGA-19-1385-01	TCGA-19-1385-01	0.2274
TCGA-06-0121-01	TCGA-06-0121-01	0.2239
TCGA-28-2513-01	TCGA-28-2513-01	0.2229
TCGA-06-5412-01	TCGA-06-5412-01	0.2081
TCGA-19-A6J4-01	TCGA-19-A6J4-01	0.2081
TCGA-06-0132-01	TCGA-06-0132-01	0.19670000000000004
TCGA-28-2510-01	TCGA-28-2510-01	0.1931
TCGA-26-5133-01	TCGA-26-5133-01	0.1919
TCGA-12-0827-01	TCGA-12-0827-01	0.1867
TCGA-06-0147-01	TCGA-06-0147-01	0.1852
TCGA-14-0865-01	TCGA-14-0865-01	0.1847
TCGA-02-0107-01	TCGA-02-0107-01	0.175
TCGA-06-0190-02	TCGA-06-0190-02	0.174
TCGA-19-4065-02	TCGA-19-4065-02	0.17
TCGA-14-0740-01	TCGA-14-0740-01	0.1681
TCGA-28-2514-01	TCGA-28-2514-01	0.1671
TCGA-14-0781-01	TCGA-14-0781-01	0.1639
TCGA-15-1447-01	TCGA-15-1447-01	0.1622
TCGA-06-0171-02	TCGA-06-0171-02	0.1621
TCGA-14-0862-01	TCGA-14-0862-01	0.1615
TCGA-32-1973-01	TCGA-32-1973-01	0.1597
TCGA-06-0119-01	TCGA-06-0119-01	0.158
TCGA-32-2634-01	TCGA-32-2634-01	0.1574
TCGA-06-0141-01	TCGA-06-0141-01	0.15360000000000001
TCGA-06-0650-01	TCGA-06-0650-01	0.1503
TCGA-02-0011-01	TCGA-02-0011-01	0.14829999999999996
TCGA-02-0010-01	TCGA-02-0010-01	0.1452
TCGA-08-0517-01	TCGA-08-0517-01	0.1434
